7  
5 125.000000 365.000000  
5 -125.000000 970.000000  
5 1795.000000 153.000000  
5 2045.000000 970.000000  
5 -2475.000000 590.000000  
5 4395.000000 590.000000  
5 -2475.000000 970.000000  
5 960.000000 990.000000  
5 1120.000000 598.000000  
5 830.000000 814.000000  
5 830.000000 382.000000  
5 -1678.000000 990.000000  
5 -2023.000000 990.000000  
5 3620.000000 990.000000  
5 3275.000000 990.000000  
5 -1200.000000 990.000000  
5 960.000000 1030.000000  
5 0.000000 540.000000  
5 1920.000000 540.000000  
5 4520.000000 540.000000  
5 -2600.000000 540.000000  
5 480.000000 864.000000  
5 1460.000000 648.000000  
5 480.000000 432.000000  
5 1460.000000 216.000000  
5 -2120.000000 648.000000  
5 4040.000000 648.000000  
5 1150.000000 985.000000  
5 -900.000000 985.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
2 -99999.000000 -9999.000000 100.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
3 -99999.000000 -9999.000000 400.000000  
6 0.000000 0.000000  
6 0.000000 0.000000  
6 0.000000 0.000000  
6 0.000000 0.000000  
6 0.000000 0.000000  
1 991.878723 867.279053 100.000000 0 1  
